,latitude,longitude,stars,is_open,categories,review_count,RestaurantsTableService,RestaurantsReservations,WheelchairAccessible,RestaurantsPriceRange2,HasTV,RestaurantsTakeOut,RestaurantsDelivery,GoodForKids,CoatCheck,romantic,intimate,classy,hipster,divey,touristy,trendy,upscale,casual,dj,background_music,no_music,jukebox,live,video,karaoke,WiFi_no,WiFi_free,WiFi_paid,Alcohol_none,Alcohol_beer_and_wine,Alcohol_full_bar,NoiseLevel_average,NoiseLevel_loud,NoiseLevel_quiet,NoiseLevel_very_loud,RestaurantsAttire_casual,RestaurantsAttire_dressy,RestaurantsAttire_formal,cluster1,cluster2
0,33.846335,-84.3635778,3.0,1,"['Food', 'Restaurants', 'Cheesesteaks', 'Sandwiches', 'Juice Bars & Smoothies']",11,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3
1,33.8428749,-84.3785385,4.0,1,"['Restaurants', 'Patisserie/Cake Shop', 'Desserts', 'Food', 'Cupcakes', 'Bakeries']",231,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3
2,33.8966405,-84.280918,3.0,0,"['Restaurants', 'Chinese']",11,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,12,0
3,33.772758,-84.380375,4.0,1,"['Caribbean', 'Cuban', 'Restaurants']",1001,0,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1
4,33.640879018,-84.4255140424,3.5,1,"['Restaurants', 'Sandwiches', 'Fast Food', 'American (Traditional)', 'Salad']",150,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,2
5,33.8551066087,-84.3133151086,3.5,1,"['Restaurants', 'Southern']",69,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
6,33.7599229,-84.3864441,3.5,1,"['Restaurants', 'Nightlife', 'Mexican', 'Bars', 'Sports Bars', 'Tex-Mex']",10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2
7,33.8275823,-84.328604,2.5,1,"['Caterers', 'Event Planning & Services', 'Fast Food', 'Southern', 'Restaurants']",108,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,0
8,33.7826388,-84.4115507,4.0,0,"['Restaurants', 'Southern']",66,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2
9,33.788608261,-84.3690906035,3.5,1,"['Latin American', 'Tapas Bars', 'Brazilian', 'Restaurants']",658,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
10,33.759931,-84.383949,3.5,0,"['American (New)', 'Bars', 'Barbeque', 'Lounges', 'Nightlife', 'Restaurants']",12,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,4,1
11,33.757001,-84.393034,2.5,0,"['Restaurants', 'Chinese']",9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2
12,33.8116376253,-84.3572405323,3.5,1,"['Cheesesteaks', 'Burgers', 'Restaurants', 'Sandwiches']",53,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5,0
13,33.9259745,-84.3781593,2.5,0,"['Chinese', 'Restaurants', 'Vietnamese']",22,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4
14,33.7868725,-84.3825721,2.0,0,"['Bars', 'American (Traditional)', 'Nightlife', 'Barbeque', 'Restaurants', 'Sports Bars']",25,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,5
