,latitude,longitude,stars,is_open,categories,review_count,RestaurantsTableService,RestaurantsReservations,WheelchairAccessible,RestaurantsPriceRange2,HasTV,RestaurantsTakeOut,RestaurantsDelivery,GoodForKids,CoatCheck,romantic,intimate,classy,hipster,divey,touristy,trendy,upscale,casual,dj,background_music,no_music,jukebox,live,video,karaoke,WiFi_free,WiFi_no,WiFi_paid,Alcohol_full_bar,Alcohol_none,Alcohol_beer_and_wine,NoiseLevel_average,NoiseLevel_quiet,NoiseLevel_loud,NoiseLevel_very_loud,RestaurantsAttire_casual,RestaurantsAttire_dressy,RestaurantsAttire_formal,cluster1,cluster2
0,42.338544,-71.106842,2.5,1,"['Restaurants', 'Shopping', 'Shopping Centers']",24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1,42.3634422,-71.0257812,3.5,1,"['Sandwiches', 'Food', 'Restaurants', 'Breakfast & Brunch', 'Seafood', 'Italian', 'Beer', 'Wine & Spirits', 'Cocktail Bars', 'Gluten-Free', 'Nightlife', 'Bars', 'Salad']",856,1,0,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,4
2,42.3426726,-71.0842392,4.5,0,"['Creperies', 'Restaurants', 'Food', 'Coffee & Tea', 'Breakfast & Brunch']",7,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2
3,42.3418764,-71.055116,3.5,1,"['American (New)', 'Nightlife', 'Breakfast & Brunch', 'Restaurants', 'Bars', 'Event Planning & Services', 'American (Traditional)', 'Caterers']",436,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,6,1
4,42.343415,-71.099013,4.0,1,"['Halal', 'Persian/Iranian', 'Restaurants', 'Middle Eastern', 'Sandwiches']",158,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3
5,42.3379247,-71.074729,3.5,1,"['Restaurants', 'Sandwiches', 'Soup', 'Delis', 'Food', 'Ice Cream & Frozen Yogurt']",112,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3
6,42.364992,-71.062266,3.5,1,"['Restaurants', 'Food', 'Grocery', 'Delis', 'Pharmacy', 'Health & Medical']",11,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
7,42.3383941,-71.0498008,3.5,1,"['American (Traditional)', 'Lounges', 'Bars', 'Restaurants', 'Nightlife']",177,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
8,42.3645177,-71.061731,3.0,1,"['Bars', 'Music Venues', 'Nightlife', 'Pubs', 'Arts & Entertainment', 'Restaurants']",78,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
9,42.3486744,-71.0836219,2.5,0,"['Whiskey Bars', 'Nightlife', 'American (Traditional)', 'Bars', 'Pubs', 'Restaurants']",626,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2
10,42.366045,-71.016468,4.0,1,"['Burgers', 'Fast Food', 'Restaurants']",12,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4
11,42.352114,-71.064379,3.5,1,"['Restaurants', 'Japanese', 'Sushi Bars']",133,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1
12,42.34881,-71.099424,3.5,0,"['Restaurants', 'Italian']",6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3
13,42.3636176318,-71.0547208786,4.5,1,"['Landmarks & Historical Buildings', 'Local Flavor', 'Italian', 'Public Services & Government', 'Restaurants']",106,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
14,42.3505922,-71.0492843,2.0,0,"['Restaurants', 'Bars', 'Nightlife']",25,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
15,42.3552702,-71.0625677,3.5,1,"['Restaurants', 'Mexican', 'Delis']",137,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
16,42.36723966,-71.0500660036,3.0,0,"['Restaurants', 'Italian', 'Bistros', 'Nightlife', 'Bars']",167,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
17,42.353299,-71.0586359,3.5,0,"['Restaurants', 'Sandwiches']",6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
18,42.3574253792,-71.053025584,4.5,1,"['Breakfast & Brunch', 'Restaurants', 'Cocktail Bars', 'Bars', 'Nightlife', 'Seafood']",309,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
19,42.342247,-71.075429,4.0,0,"['American (New)', 'Bars', 'Restaurants', 'Nightlife', 'Breakfast & Brunch']",62,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2
20,42.3560703,-71.0618519,3.0,0,"['Mexican', 'Restaurants']",6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
21,42.3602467398,-71.0549194749,4.0,1,"['Food', 'Bakeries', 'Restaurants']",126,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
22,42.306897,-71.06660294,4.0,1,"['Event Planning & Services', 'Caterers', 'Restaurants', 'Portuguese', 'African']",127,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,12,1
23,42.3506425,-71.0686026,4.0,0,"['Wine Bars', 'Nightlife', 'Bars', 'Steakhouses', 'Restaurants', 'Seafood']",679,0,1,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
24,42.3577576619,-71.059044191,3.5,0,"['American (New)', 'Restaurants', 'Fast Food']",78,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
25,42.349557,-71.083595,3.5,0,"['Pizza', 'Restaurants', 'Italian']",99,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,2
26,42.3564016,-71.0600964,3.5,1,"['American (Traditional)', 'Bars', 'Pubs', 'Nightlife', 'Dive Bars', 'Restaurants']",240,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
27,42.3417445442,-71.0805253553,4.0,1,"['Restaurants', 'Breakfast & Brunch', 'Food', 'Nightlife', 'Bars', 'Salad', 'American (Traditional)', 'Sandwiches', 'Pubs', 'Breweries', 'American (New)', 'Pizza', 'Italian']",455,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,11,1
28,42.3491028,-71.083413,4.0,1,"['Asian Fusion', 'Restaurants', 'Vietnamese', 'Thai']",427,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3
