,latitude,longitude,stars,is_open,categories,review_count,RestaurantsTableService,RestaurantsReservations,WheelchairAccessible,RestaurantsPriceRange2,HasTV,RestaurantsTakeOut,RestaurantsDelivery,GoodForKids,CoatCheck,romantic,intimate,classy,hipster,divey,touristy,trendy,upscale,casual,dj,background_music,no_music,jukebox,live,video,karaoke,WiFi_no,WiFi_free,WiFi_paid,Alcohol_none,Alcohol_full_bar,Alcohol_beer_and_wine,NoiseLevel_quiet,NoiseLevel_average,NoiseLevel_very_loud,NoiseLevel_loud,RestaurantsAttire_casual,RestaurantsAttire_dressy,RestaurantsAttire_formal,cluster1,cluster2
0,28.5132647,-81.3747072,4.5,1,"['Restaurants', 'American (New)', 'Bakeries', 'Desserts', 'Food', 'Cupcakes']",135,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,6,2
1,28.3504984,-81.542819,3.0,1,"['Restaurants', 'American (New)', 'Food Court', 'Flowers & Gifts', 'Hotels & Travel', 'Gift Shops', 'Resorts', 'Shopping']",7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2
2,28.3819454,-81.510327,3.5,0,"['Hotels', 'American (Traditional)', 'Restaurants', 'Event Planning & Services', 'Hotels & Travel']",18,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
3,28.5205,-81.44395,1.0,1,"['Italian', 'Restaurants']",8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,4
4,28.551335,-81.483167,2.0,1,"['Pizza', 'Event Planning & Services', 'Arcades', 'Party & Event Planning', 'Restaurants', 'Active Life', 'Arts & Entertainment', 'Kids Activities', 'Indoor Playcentre']",15,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
5,28.4632778,-81.4511805,4.5,0,"['Food', 'Ice Cream & Frozen Yogurt', 'Restaurants', 'Breakfast & Brunch', 'Desserts']",36,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,4
6,28.3732694002,-81.5030797147,3.5,1,"['Steakhouses', 'Restaurants', 'American (Traditional)', 'Seafood']",162,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
7,28.540813,-81.3802985,5.0,1,"['Desserts', 'French', 'Food', 'Restaurants', 'Creperies']",29,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,3,0
8,28.464982,-81.390952,4.5,1,"['Restaurants', 'Mexican']",43,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
9,28.4518821484,-81.487382886,4.5,1,"['American (New)', 'Bars', 'Restaurants', 'Wine Bars', 'Nightlife']",157,1,1,1,4,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
10,28.5534641199,-81.3649773955,4.0,1,"['Coffee & Tea', 'Food', 'Hot Dogs', 'Restaurants', 'Bubble Tea']",197,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,2
11,28.4913358,-81.4287783,4.0,1,"['Restaurants', 'Burgers', 'Fast Food']",25,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,3,4
