,latitude,longitude,stars,is_open,categories,review_count,RestaurantsTableService,RestaurantsReservations,WheelchairAccessible,RestaurantsPriceRange2,HasTV,RestaurantsTakeOut,RestaurantsDelivery,GoodForKids,CoatCheck,romantic,intimate,classy,hipster,divey,touristy,trendy,upscale,casual,dj,background_music,no_music,jukebox,live,video,karaoke,WiFi_free,WiFi_no,WiFi_paid,Alcohol_beer_and_wine,Alcohol_full_bar,Alcohol_none,NoiseLevel_average,NoiseLevel_quiet,NoiseLevel_loud,NoiseLevel_very_loud,RestaurantsAttire_casual,RestaurantsAttire_dressy,RestaurantsAttire_formal,cluster1,cluster2
0,45.5889058992,-122.5933307507,4.0,1,"['Salad', 'Soup', 'Sandwiches', 'Delis', 'Restaurants', 'Cafes', 'Vegetarian']",126,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
1,45.5264727,-122.535323,3.5,1,"['Nightlife', 'Sandwiches', 'Seafood', 'Restaurants']",19,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,1
2,45.5184501881,-122.6757229865,3.5,1,"['Vegetarian', 'Vegan', 'Sandwiches', 'Soup', 'American (New)', 'Fast Food', 'Restaurants', 'Wraps', 'American (Traditional)']",158,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,0
3,45.5162412,-122.5975269,5.0,0,"['Food Stands', 'Restaurants', 'Sandwiches']",7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,3
4,45.5230736,-122.6962064,4.5,0,"['Restaurants', 'Food', 'Sandwiches', 'Breakfast & Brunch', 'Gluten-Free', 'Coffee & Tea', 'Bagels']",131,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,5,3
5,45.5299395,-122.6829322,3.5,1,"['Do-It-Yourself Food', 'Restaurants', 'American (Traditional)', 'Active Life', 'Grocery', 'Food', 'Local Flavor', 'Specialty Food', 'Kids Activities', 'Cafes', 'Delis']",26,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
6,45.5131986231,-122.6763805441,4.0,0,"['Restaurants', 'Mexican', 'Food Trucks', 'Food', 'Food Stands']",28,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,6,0
7,45.516382,-122.618593,4.0,0,"['Sushi Bars', 'Restaurants']",17,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3
8,45.5274187,-122.6844472,4.0,1,"['Mexican', 'Restaurants', 'Tacos', 'Breakfast & Brunch']",180,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,7,1
9,45.5210363,-122.6766335,4.0,0,"['Mediterranean', 'Food', 'Restaurants', 'Food Trucks']",72,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,1
