,latitude,longitude,stars,is_open,categories,review_count,RestaurantsTableService,RestaurantsReservations,WheelchairAccessible,RestaurantsPriceRange2,HasTV,RestaurantsTakeOut,RestaurantsDelivery,GoodForKids,CoatCheck,romantic,intimate,classy,hipster,divey,touristy,trendy,upscale,casual,dj,background_music,no_music,jukebox,live,video,karaoke,WiFi_no,WiFi_free,WiFi_paid,Alcohol_none,Alcohol_beer_and_wine,Alcohol_full_bar,NoiseLevel_average,NoiseLevel_quiet,NoiseLevel_loud,NoiseLevel_very_loud,RestaurantsAttire_casual,RestaurantsAttire_dressy,RestaurantsAttire_formal,cluster1,cluster2
0,49.2513423,-123.101333,3.5,1,"['Restaurants', 'Thai']",169,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
1,49.2863603653,-123.1402613545,4.5,0,"['Restaurants', 'Canadian (New)', 'Sushi Bars', 'American (New)']",31,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
2,49.2195321279,-123.0408930571,1.0,1,"['Restaurants', 'Pizza']",9,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,6,0
3,49.2440788,-123.0633372,4.0,0,"['Restaurants', 'Chinese']",60,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,2
4,49.283532,-123.117107,4.0,1,"['Food', 'Coffee & Tea', 'Restaurants', 'Cafes']",17,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,1
5,49.2890522,-123.1394572,3.5,1,"['Bars', 'Restaurants', 'Sandwiches', 'American (Traditional)', 'Cocktail Bars', 'Chicken Shop', 'Nightlife']",6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
6,49.2623212,-123.089898,3.5,1,"['Filipino', 'Noodles', 'Restaurants']",10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
7,49.2715122,-123.1548322,4.0,0,"['Restaurants', 'Italian']",88,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2
8,49.2837849,-123.1066087,2.0,0,"['Mexican', 'Restaurants']",18,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,5,2
9,49.2630454634,-123.112614326,3.5,1,"['Japanese', 'Restaurants', 'Sushi Bars']",280,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,1
10,49.2680701,-123.1475085,3.5,1,"['Burgers', 'Restaurants']",308,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,0
11,49.2640755304,-123.1659137158,4.0,1,"['Restaurants', 'Vietnamese']",104,1,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2
12,49.2682315,-123.1488691,3.0,0,"['Specialty Food', 'Ethnic Food', 'Restaurants', 'Sushi Bars', 'Food', 'Food Delivery Services', 'Seafood', 'Japanese']",25,1,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2
13,49.2827437787,-123.1045918426,4.0,0,"['German', 'Restaurants', 'Bars', 'Modern European', 'Nightlife']",199,1,1,1,3,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
14,49.2874677,-123.1287922,2.5,0,"['Lebanese', 'Nightlife', 'Restaurants', 'Bars', 'Mediterranean', 'Middle Eastern']",15,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
15,49.263047,-123.117827,3.5,1,"['Canadian (New)', 'Food', 'Beer', 'Wine & Spirits', 'Gastropubs', 'Burgers', 'American (Traditional)', 'Restaurants']",124,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
16,49.2853482,-123.1206773,4.5,1,"['Restaurants', 'Food Trucks', 'Middle Eastern', 'Lebanese', 'Street Vendors', 'Food']",147,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
17,49.2835046,-123.1047979,3.5,0,"['Japanese', 'Restaurants', 'Sushi Bars', 'Steakhouses', 'Tapas/Small Plates']",41,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,0
18,49.2572813531,-123.0897673308,4.0,1,"['Restaurants', 'French', 'Cafes']",413,1,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
19,49.2359825396,-123.1196594238,3.0,0,"['Restaurants', 'Chinese']",11,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,5,3
20,49.2835722564,-123.103981088,3.5,0,"['Lounges', 'Bars', 'Canadian (New)', 'Restaurants', 'International', 'Nightlife', 'American (New)']",333,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
21,49.2635347,-123.1230661,4.0,0,"['Restaurants', 'Cafes']",6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
22,49.2596365,-123.0434793,2.0,1,"['Vietnamese', 'Restaurants']",33,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
23,49.2884739,-123.1385573,3.0,0,"['Event Planning & Services', 'Nightlife', 'Hotels & Travel', 'Bars', 'American (Traditional)', 'Hotels', 'Restaurants', 'Sports Bars', 'Lounges']",22,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,0
24,49.2807542,-123.1249069,3.0,1,"['Restaurants', 'Japanese', 'Sushi Bars']",37,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,1
25,49.2378945,-123.0319888,3.0,1,"['Pizza', 'Restaurants']",12,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
26,49.2695864693,-123.1028566413,3.0,1,"['Sandwiches', 'Salad', 'Soup', 'Restaurants']",43,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
27,49.2863606,-123.116895,2.5,1,"['Restaurants', 'Breakfast & Brunch', 'Hotels', 'Event Planning & Services', 'Hotels & Travel']",31,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
28,49.2511875,-123.0784675,2.5,0,"['Sushi Bars', 'Asian Fusion', 'Restaurants', 'Japanese']",13,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
29,49.2629941,-123.0967589,3.5,1,"['Restaurants', 'Noodles', 'Vietnamese', 'Thai']",101,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
30,49.2707061,-123.1364206,3.5,1,"['Seafood', 'Restaurants', 'Fish & Chips']",200,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,1
31,49.2633734327,-123.1171303272,3.5,1,"['Restaurants', 'Nightlife', 'Gluten-Free', 'Bars', 'Canadian (New)', 'Food', 'Food Delivery Services', 'Cocktail Bars', 'American (New)']",123,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
32,49.2819232,-123.1187799,2.5,0,"['Food', 'Restaurants', 'Coffee & Tea', 'Fast Food', 'Beer', 'Wine & Spirits']",10,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,6,1
33,49.2861632,-123.1142765,3.0,1,"[""Women's Clothing"", 'Shopping', 'Accessories', 'Italian', ""Men's Clothing"", 'Fashion', 'Restaurants']",7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
34,49.2344451114,-123.139874746,3.0,0,"['Restaurants', 'Coffee & Tea', 'Taiwanese', 'Food']",9,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,7,2
35,49.2625517042,-123.1012146712,3.5,0,"['Food', 'Cafes', 'Bakeries', 'Restaurants']",22,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,6,1
36,49.2104358,-123.1305805,4.0,0,"['Chinese', 'Restaurants']",14,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2
37,49.271604,-123.134757,5.0,1,"['Food Tours', 'Food', 'Food Trucks', 'Tours', 'Walking Tours', 'Hotels & Travel', 'Restaurants']",84,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
38,49.2791376014,-123.107450087,3.5,0,"['Sandwiches', 'Restaurants', 'Juice Bars & Smoothies', 'Live/Raw Food', 'Food']",34,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,7,2
39,49.2870226,-123.1283048,3.5,1,"['Coffee & Tea', 'Bakeries', 'Food', 'Fast Food', 'Restaurants']",39,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,1
40,49.2878816,-123.1204418,4.0,1,"['Restaurants', 'Seafood', 'Nightlife', 'American (Traditional)', 'Bars']",109,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,0
41,49.2370053,-123.0330495,4.5,0,"['Restaurants', 'Japanese', 'Sushi Bars']",15,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,7,1
42,49.2810963,-123.1319944,3.0,0,"['Tapas/Small Plates', 'Mediterranean', 'Restaurants']",49,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
43,49.2842048,-123.1139803,3.5,0,"['Restaurants', 'Pizza']",215,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,0
44,49.2686615,-123.0439019,5.0,0,"['Food', 'Tea Rooms', 'Restaurants', 'Cafes']",9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
45,49.2189956,-123.1020791,3.0,1,"['Pizza', 'Food', 'Restaurants']",7,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
46,49.2640107,-123.1716367,4.5,0,"['Latin American', 'Mexican', 'Restaurants', 'Specialty Food', 'Ethnic Food', 'Food']",11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2
47,49.2877178815,-123.115131855,2.5,1,"['Thai', 'Food Court', 'Restaurants']",26,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
48,49.2497659,-123.0900825,3.0,0,"['Chinese', 'Restaurants', 'Vegetarian']",15,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
49,49.2320255365,-123.0262535065,4.5,0,"['Desserts', 'Cafes', 'Nightlife', 'Restaurants', 'Sporting Goods', 'Shopping', 'Food']",81,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
50,49.2679697,-123.0693353,3.5,1,"['Food', 'Restaurants', 'Tapas/Small Plates', 'Italian', 'Cafes', 'Coffee & Tea']",36,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,3
51,49.2874959132,-123.1289341673,4.5,1,"['Ramen', 'Japanese', 'Noodles', 'Restaurants']",436,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,1
52,49.2318142,-123.1159482,2.0,1,"['Restaurants', 'Food', 'Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches', 'Bagels']",5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
53,49.2666875,-123.1454778,3.0,0,"['Restaurants', 'Pizza']",17,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,5,4
54,49.2902282,-123.131784,4.0,0,"['British', 'Canadian (New)', 'Gastropubs', 'Restaurants']",43,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
55,49.2890737079,-123.1220084776,4.5,1,"['Pizza', 'Italian', 'Restaurants']",32,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
56,49.2792864,-123.1270535,3.5,0,"['Pakistani', 'Fast Food', 'Indian', 'Restaurants']",11,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
57,49.2307429,-123.0908638,3.0,1,"['Restaurants', 'Pizza']",5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
58,49.2683342,-123.2504728,1.5,0,"['Restaurants', 'Fast Food', 'Sandwiches']",9,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2
59,49.2869515,-123.1221841,3.0,1,"['Breakfast & Brunch', 'Pizza', 'Coffee & Tea', 'Italian', 'Restaurants', 'Bakeries', 'Food', 'Cafes']",20,0,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
